File,Class,isDC,isGC
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.Main,Main,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,DigraphEdgeList,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.DigraphEdgeList,MyEdge,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.GraphEdgeList,MyVertex,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.GraphEdgeList,MyEdge,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.InvalidVertexException,InvalidVertexException,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graph.InvalidEdgeException,InvalidEdgeException,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartCircularSortedPlacementStrategy,SmartCircularSortedPlacementStrategy,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.UtilitiesJavaFX,UtilitiesJavaFX,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartStyleProxy,SmartStyleProxy,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphProperties,SmartGraphProperties,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartRandomPlacementStrategy,SmartRandomPlacementStrategy,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphVertexNode,SmartGraphVertexNode,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,SmartGraphPanel,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphPanel,Tuple,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.graphview.SmartGraphEdgeCurve,SmartGraphEdgeCurve,0,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.example.ExampleMain,ExampleMain,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.containers.SmartGraphDemoContainer,SmartGraphDemoContainer,1,0
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.containers.ContentZoomPane,ContentZoomPane,1,1
JavaFXSmartGraph.src.main.java.com.brunomnsilva.smartgraph.containers.ContentZoomPane,DragContext,1,0
